Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-16 02:30:00,121.07,2.603,270.26,0.843,59.97,5.195
1,2026-02-16 02:40:00,120.89,2.296,230.09,0.832,59.95,5.235
1,2026-02-16 02:50:00,120.67,2.713,281.37,0.846,59.94,5.282
1,2026-02-16 03:00:00,120.88,4.323,504.39,0.941,59.93,5.375
1,2026-02-16 03:10:00,121.41,1.982,207.26,0.845,59.98,5.405
1,2026-02-16 03:20:00,121.03,3.241,340.25,0.857,59.95,5.452
1,2026-02-16 03:30:00,120.67,3.295,329.77,0.83,59.95,5.507
1,2026-02-16 03:40:00,120.52,2.632,261.52,0.827,59.95,5.554
1,2026-02-16 03:50:00,121.21,2.33,233.92,0.829,59.98,5.595
1,2026-02-16 04:00:00,121.15,2.63,263.17,0.827,59.97,5.641
1,2026-02-16 04:10:00,121.24,2.136,214.66,0.832,59.93,5.678
1,2026-02-16 04:20:00,121.06,2.479,247.41,0.824,59.95,5.721
1,2026-02-16 04:30:00,121.07,2.463,250.6,0.838,59.95,5.76
1,2026-02-16 04:40:00,120.27,2.32,229.57,0.821,59.98,5.801
1,2026-02-16 04:50:00,119.74,2.939,296.52,0.831,59.95,5.843
1,2026-02-16 05:00:00,120.66,2.197,218.09,0.825,59.97,5.881
1,2026-02-16 05:10:00,120.83,3.069,312.45,0.832,59.95,5.926
1,2026-02-16 05:20:00,121.36,1.856,186.83,0.831,59.98,5.961
1,2026-02-16 05:30:00,120.68,2.787,277.11,0.824,59.99,6.01
1,2026-02-16 05:40:00,119.24,2.57,271.81,0.855,59.98,6.051
1,2026-02-16 05:50:00,119.13,2.773,273.51,0.827,59.95,6.1
1,2026-02-16 06:00:00,118.26,1.955,193.18,0.833,59.95,6.131
1,2026-02-16 06:10:00,119.11,3.072,309.98,0.837,59.96,6.184
1,2026-02-16 06:20:00,121.23,2.357,244.26,0.837,59.98,6.228
1,2026-02-16 06:30:00,122.45,2.402,240.98,0.824,59.94,6.269
