,real_test,pred_test,pred_futuro
2026-03-14 13:20:00,527.011,577.8195342047338,
2026-03-14 13:30:00,254.275,568.4521226255985,
2026-03-14 13:40:00,426.89,526.8319404475053,
2026-03-14 13:50:00,637.933,488.64771822469334,
2026-03-14 14:00:00,468.457,471.2970972498639,
2026-03-14 14:10:00,181.6,439.9397262351156,
2026-03-14 14:20:00,,,577.8195342047338
2026-03-14 14:30:00,,,568.4521226255985
2026-03-14 14:40:00,,,526.8319404475053
2026-03-14 14:50:00,,,488.64771822469334
2026-03-14 15:00:00,,,471.2970972498639
2026-03-14 15:10:00,,,439.9397262351156
