,real_test,pred_test,pred_futuro
2026-03-14 13:20:00,527.011,594.6437769425783,
2026-03-14 13:30:00,254.275,525.3116500540705,
2026-03-14 13:40:00,426.89,492.6805008613119,
2026-03-14 13:50:00,637.933,477.6839245003195,
2026-03-14 14:00:00,468.457,491.8461865871863,
2026-03-14 14:10:00,181.6,473.1025164359964,
2026-03-14 14:20:00,,,594.6437769425783
2026-03-14 14:30:00,,,525.3116500540705
2026-03-14 14:40:00,,,492.6805008613119
2026-03-14 14:50:00,,,477.6839245003195
2026-03-14 15:00:00,,,491.8461865871863
2026-03-14 15:10:00,,,473.1025164359964
