s,adf_statistic,adf_pvalue,mae,rmse,mape,order,seasonal_order,aic
6,-15.380289636108879,3.414784899766059e-28,146.60011773013733,179.61253924736175,54.24477740775644,"(3, 0, 1)","(0, 0, 1, 6)",51009.50497201836
36,-8.951505486636881,8.698542630927963e-15,145.89878375635396,182.71596292611406,53.812626852061896,"(1, 0, 1)","(2, 0, 0, 36)",50843.92770460754
