,real_test,pred_test,pred_futuro
2026-03-14 13:20:00,19.9,30.683983708939255,
2026-03-14 13:30:00,19.788,42.666530498564384,
2026-03-14 13:40:00,19.88,53.48745030955956,
2026-03-14 13:50:00,20.233,63.31731357204947,
2026-03-14 14:00:00,21.157,72.36896090575107,
2026-03-14 14:10:00,21.5,80.72297479872218,
2026-03-14 14:20:00,,,30.683983708939255
2026-03-14 14:30:00,,,42.666530498564384
2026-03-14 14:40:00,,,53.48745030955956
2026-03-14 14:50:00,,,63.31731357204947
2026-03-14 15:00:00,,,72.36896090575107
2026-03-14 15:10:00,,,80.72297479872218
