s,adf_statistic,adf_pvalue,mae,rmse,mape,order,seasonal_order,aic
6,-11.98829599651152,3.5701064565541787e-22,36.79820229893099,40.322586595510934,178.21899351034426,"(3, 0, 0)","(0, 0, 0, 6)",44315.76663822035
36,-9.45872354208431,4.4126166742378705e-16,29.554856188459905,32.3187581413503,143.20085236620648,"(3, 0, 1)","(2, 0, 0, 36)",44280.65820880495
